CodigoDepartamento,NombreDepartamento,CodigoMunicipio,municipio,nombrecomercial,bandera,direccion,producto,precio,estado,fecharegistro,periodo
10,CORDOBA,460,MONTERIA,ESTACION SERVICIO ARCANGEL,TEXACO,Calle 78 Via Segundo Anillo Vial Norte Sur,BIODIESEL EXTRA,9400,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,105,MUTATA,DISTRICOMBUSTIBLES,TERPEL,CALLE 10 No. 10-13,GASOLINA CORRIENTE OXIGENADA,10100,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
20,RISARALDA,862,PEREIRA,ESTACION DE SERVICIO EL JARDIN TG,TERPEL,Avenida de Las Americas No. 30-26,GASOLINA EXTRA OXIGENADA,12000,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
13,HUILA,635,NEIVA,ESTACION DE SERVICIO TERPEL DE PASO LA GAITANA,TERPEL,AVENIDA CIRCUNVALAR ENTRE CALLES 4 Y 5,GASOLINA CORRIENTE OXIGENADA,9590,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,62,CAÑASGORDAS,MULTISERVICIO HERSIL,ZEUSS,CARRERA 28 No. 34A-162,BIODIESEL EXTRA,9100,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
16,META,730,MAPIRIPAN,ESTACION DE SERVICIO EL CAUDAL,BIOMAX,INSPECCION LA COOPERATIVA,BIODIESEL EXTRA,12650,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,449,LA JAGUA DE IBIRICO,ESTACION DE SERVICIO LA FE DE LA JAGUA,ECOS,VIA SALIDA A LAS PALMITAS,GASOLINA EXTRA,10000,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
2,ATLANTICO,163,GALAPA,ESTACION DE SERVICIO POZO RUBIO,ZEUSS,CALLE 10 NO.24-571,BIODIESEL EXTRA,8349,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,118,RIONEGRO,ESTACION DE SERVICIO JOSE MARIA CORDOVA,TERPEL,GLORIETA JMC 0.2 KIM VIA GUARNE,GASOLINA EXTRA OXIGENADA,12570,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
16,META,741,SAN CARLOS DE GUAROA,ESTACION DE SERVICIO PALMERAS DEL META,BIOMAX,CARRERA 4 2 44 LA PALMERA,BIODIESEL EXTRA,9490,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,503,CHAGUANI,ESTACION LA ESMERALDA,BIOMAX,CRA 2 No 0 - 05,GASOLINA CORRIENTE OXIGENADA,9990,A,07/16/2019 12:00:00 AM,07/01/2019 12:00:00 AM
10,CORDOBA,477,PUERTO ESCONDIDO,ESTACION DE SERVICIO PUERTO ESCONDIDO,ZEUSS,CARRERA 5 No. 11-54,BIODIESEL EXTRA,9800,A,07/06/2019 12:00:00 AM,07/01/2019 12:00:00 AM
5,BOYACA,228,TUNJA,ESTACIÓN DE SERVICIO COMBUSTIBLES LA GRAN AVENIDA,TERPEL,CARRERA 10  29 - 75 - 89,BIODIESEL EXTRA,9218,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
15,MAGDALENA,687,SANTA MARTA,ESTACION DE SERVICIO AGUA DULCE,TEXACO,CALLE 30 No. 5-10,GASOLINA EXTRA OXIGENADA,12000,A,07/24/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,451,PAILITAS,SERVICENTRO EL BURRO,PETROMIL,KILOMETRO 12 CON 150 METROS VIA PAILITAS,BIODIESEL EXTRA,7690,A,07/22/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,149,VALDIVIA,ESTACION DE SERVICIOS LA CASCADA,TERPEL,CALLE LA ARROCERA,GASOLINA CORRIENTE OXIGENADA,9730,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
20,RISARALDA,866,DOSQUEBRADAS,ESTACION DE SERVICIO EL VIADUCTO,TERPEL,Cra. 10 No. 15-119,BIODIESEL EXTRA,9125,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
5,BOYACA,266,GARAGOA,ESTACION DE SERVICIO AUTOMOTRIZ GASOLINERA EL JARDIN,TERPEL,KILOMETRO 1 VIA GARAGOA-GUATEQUE,BIODIESEL EXTRA,9490,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
10,CORDOBA,1233,TUCHIN,EDS ZENUMIL,BIOMAX,CALLE 1 CARRERA 16 BARRIO ARAUCA,GASOLINA CORRIENTE OXIGENADA,9620,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
13,HUILA,645,GARZON,ESTACION DE SERVICIO LOS COCHES,BIOMAX,cra 10 no 9 - 68,GASOLINA CORRIENTE OXIGENADA,9916,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,70,CISNEROS,BOMBA DE GASOLINA LA YE,TERPEL,CALLE 18 No.. 15-05 Y CARRERA 14A No. 17-25 BARRIO LA YE,GASOLINA CORRIENTE OXIGENADA,9910,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
8,CAUCA,404,EL TAMBO,ESTACION DE SERVICIO SERVICENTRO FONDAS,TERPEL,CORREGIMIENTO FONDAS KM 9 VIA MUNCHIQUE,BIODIESEL EXTRA,9580,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
8,CAUCA,395,ALMAGUER,EDS ALMAGUER,TEXACO,SALIDA SUR ALMAGUER,GASOLINA CORRIENTE OXIGENADA,10100,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,876,BUCARAMANGA,ESTACION DE SERVICIO TERPEL LA ROSITA,TERPEL,AVENIDA LA ROSITA No. 20-02,GASOLINA EXTRA OXIGENADA,11000,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
16,META,734,LEJANIAS,BOMBA DE GASOLINA EL MORROCAL,BIOMAX,CARRERA 12 No. 5-36,GASOLINA CORRIENTE OXIGENADA,8820,A,07/18/2019 12:00:00 AM,07/01/2019 12:00:00 AM
12,CHOCO,628,RIO QUITO,ESTACION DE SERVICIO PAIMADO,PETROMIL,PAIMADO CABECERA MUNICIPAL BARRIO LA CANDELARIA,BIODIESEL EXTRA,9700,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,750,ARBOLEDA,ARBOLEDA BERRUECOS,MOBIL,BARRIO LOURDES,BIODIESEL EXTRA,7240,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,750,ARBOLEDA,ARBOLEDA BERRUECOS,MOBIL,BARRIO LOURDES,GASOLINA CORRIENTE OXIGENADA,7378,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,876,BUCARAMANGA,ESTACION DE SERVICIO CENTRAL DE ABASTOS DE BUCARAMANGA SA,TERPEL,VIA PALENQUE - CAFE MADRID No. 44-96,GASOLINA EXTRA OXIGENADA,11480,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
5,BOYACA,228,TUNJA,ESTACION DE SERVICIO LOS DIAMANTES,BIOMAX,CARRERA 16 No. 23-60,BIODIESEL EXTRA,9276,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
7,CAQUETA,384,EL PAUJIL,ESTACION DE SERVICIO BIOMAX EL PAUJIL,BIOMAX,CALLE 1 CARRERA 4 Y 5 ESQUINA BRR LA CABAÑA,BIODIESEL EXTRA,9540,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,819,CONVENCION,ESTACION DE SERVICIO CONVENCION,COOMULPINORT,VEREDA ROMERITOS KM 36 VIA AL TARRA,GASOLINA CORRIENTE OXIGENADA,7400,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,46,APARTADO,ESTACION DE SERVICIO AUTOMOTRIZ LAS CHINITAS,TERPEL,CARRERA 100 KILOMETRO 1 SALIDA A TURBO,GASOLINA EXTRA OXIGENADA,12410,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,69,CHIGORODO,EDS LA CURVA,ZEUSS,CALLE 95 No. 84-25,BIODIESEL EXTRA,9235,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1035,CALI,EDS PORVENIR AV SIMON BOLIVAR,MOBIL,CALLE 36 No. 39 A - 66,GASOLINA CORRIENTE OXIGENADA,9460,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",E-S GY-234,TEXACO,AVENIDA CALLE 234 AEROPUERTO GUAYMARAL-ESCUELA ANDES E-S TEXACO,BIODIESEL EXTRA,9210,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,146,TURBO,ESTACION DE SERVICIO AUTOMOTRIZ EL TRES,ZEUSS,CRR 30 18-60 CORR EL TRES,GASOLINA CORRIENTE OXIGENADA,9670,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
